STATISTIC CODE,Statistic,TLIST(A1),Year,LGD2014,Local Government District,VALUE
ART,"Ambulance response time, median",2010,2010,N09000001,Antrim and Newtownabbey,22
ART,"Ambulance response time, median",2010,2010,N09000002,"Armagh City, Banbridge and Craigavon",9
ART,"Ambulance response time, median",2010,2010,N09000003,Belfast,40
ART,"Ambulance response time, median",2010,2010,N09000004,Causeway Coast and Glens,49
ART,"Ambulance response time, median",2010,2010,N09000005,Derry City and Strabane,19
ART,"Ambulance response time, median",2010,2010,N09000006,Fermanagh and Omagh,11
ART,"Ambulance response time, median",2010,2010,N09000007,Lisburn and Castlereagh,2
ART,"Ambulance response time, median",2010,2010,N09000008,Mid and East Antrim,55
ART,"Ambulance response time, median",2010,2010,N09000009,Mid Ulster,18
ART,"Ambulance response time, median",2010,2010,N09000010,"Newry, Mourne and Down",11
ART,"Ambulance response time, median",2010,2010,N09000011,Ards and North Down,28
ART,"Ambulance response time, median",2010,2010,N92000002,NI,29
ART,"Ambulance response time, median",2011,2011,N09000001,Antrim and Newtownabbey,26
ART,"Ambulance response time, median",2011,2011,N09000002,"Armagh City, Banbridge and Craigavon",19
ART,"Ambulance response time, median",2011,2011,N09000003,Belfast,58
ART,"Ambulance response time, median",2011,2011,N09000004,Causeway Coast and Glens,9
ART,"Ambulance response time, median",2011,2011,N09000005,Derry City and Strabane,12
ART,"Ambulance response time, median",2011,2011,N09000006,Fermanagh and Omagh,45
ART,"Ambulance response time, median",2011,2011,N09000007,Lisburn and Castlereagh,40
ART,"Ambulance response time, median",2011,2011,N09000008,Mid and East Antrim,10
ART,"Ambulance response time, median",2011,2011,N09000009,Mid Ulster,24
ART,"Ambulance response time, median",2011,2011,N09000010,"Newry, Mourne and Down",24
ART,"Ambulance response time, median",2011,2011,N09000011,Ards and North Down,29
ART,"Ambulance response time, median",2011,2011,N92000002,NI,50
ART,"Ambulance response time, median",2012,2012,N09000001,Antrim and Newtownabbey,28
ART,"Ambulance response time, median",2012,2012,N09000002,"Armagh City, Banbridge and Craigavon",2
ART,"Ambulance response time, median",2012,2012,N09000003,Belfast,3
ART,"Ambulance response time, median",2012,2012,N09000004,Causeway Coast and Glens,58
ART,"Ambulance response time, median",2012,2012,N09000005,Derry City and Strabane,47
ART,"Ambulance response time, median",2012,2012,N09000006,Fermanagh and Omagh,46
ART,"Ambulance response time, median",2012,2012,N09000007,Lisburn and Castlereagh,24
ART,"Ambulance response time, median",2012,2012,N09000008,Mid and East Antrim,11
ART,"Ambulance response time, median",2012,2012,N09000009,Mid Ulster,27
ART,"Ambulance response time, median",2012,2012,N09000010,"Newry, Mourne and Down",6
ART,"Ambulance response time, median",2012,2012,N09000011,Ards and North Down,34
ART,"Ambulance response time, median",2012,2012,N92000002,NI,51
ART,"Ambulance response time, median",2013,2013,N09000001,Antrim and Newtownabbey,8
ART,"Ambulance response time, median",2013,2013,N09000002,"Armagh City, Banbridge and Craigavon",28
ART,"Ambulance response time, median",2013,2013,N09000003,Belfast,59
ART,"Ambulance response time, median",2013,2013,N09000004,Causeway Coast and Glens,1
ART,"Ambulance response time, median",2013,2013,N09000005,Derry City and Strabane,10
ART,"Ambulance response time, median",2013,2013,N09000006,Fermanagh and Omagh,18
ART,"Ambulance response time, median",2013,2013,N09000007,Lisburn and Castlereagh,33
ART,"Ambulance response time, median",2013,2013,N09000008,Mid and East Antrim,18
ART,"Ambulance response time, median",2013,2013,N09000009,Mid Ulster,41
ART,"Ambulance response time, median",2013,2013,N09000010,"Newry, Mourne and Down",48
ART,"Ambulance response time, median",2013,2013,N09000011,Ards and North Down,19
ART,"Ambulance response time, median",2013,2013,N92000002,NI,48
ART,"Ambulance response time, median",2014,2014,N09000001,Antrim and Newtownabbey,44
ART,"Ambulance response time, median",2014,2014,N09000002,"Armagh City, Banbridge and Craigavon",50
ART,"Ambulance response time, median",2014,2014,N09000003,Belfast,24
ART,"Ambulance response time, median",2014,2014,N09000004,Causeway Coast and Glens,33
ART,"Ambulance response time, median",2014,2014,N09000005,Derry City and Strabane,14
ART,"Ambulance response time, median",2014,2014,N09000006,Fermanagh and Omagh,0
ART,"Ambulance response time, median",2014,2014,N09000007,Lisburn and Castlereagh,31
ART,"Ambulance response time, median",2014,2014,N09000008,Mid and East Antrim,13
ART,"Ambulance response time, median",2014,2014,N09000009,Mid Ulster,12
ART,"Ambulance response time, median",2014,2014,N09000010,"Newry, Mourne and Down",39
ART,"Ambulance response time, median",2014,2014,N09000011,Ards and North Down,48
ART,"Ambulance response time, median",2014,2014,N92000002,NI,15
ART,"Ambulance response time, median",2015,2015,N09000001,Antrim and Newtownabbey,6
ART,"Ambulance response time, median",2015,2015,N09000002,"Armagh City, Banbridge and Craigavon",5
ART,"Ambulance response time, median",2015,2015,N09000003,Belfast,10
ART,"Ambulance response time, median",2015,2015,N09000004,Causeway Coast and Glens,32
ART,"Ambulance response time, median",2015,2015,N09000005,Derry City and Strabane,58
ART,"Ambulance response time, median",2015,2015,N09000006,Fermanagh and Omagh,15
ART,"Ambulance response time, median",2015,2015,N09000007,Lisburn and Castlereagh,18
ART,"Ambulance response time, median",2015,2015,N09000008,Mid and East Antrim,16
ART,"Ambulance response time, median",2015,2015,N09000009,Mid Ulster,0
ART,"Ambulance response time, median",2015,2015,N09000010,"Newry, Mourne and Down",22
ART,"Ambulance response time, median",2015,2015,N09000011,Ards and North Down,55
ART,"Ambulance response time, median",2015,2015,N92000002,NI,21
ART,"Ambulance response time, median",2016,2016,N09000001,Antrim and Newtownabbey,5
ART,"Ambulance response time, median",2016,2016,N09000002,"Armagh City, Banbridge and Craigavon",4
ART,"Ambulance response time, median",2016,2016,N09000003,Belfast,18
ART,"Ambulance response time, median",2016,2016,N09000004,Causeway Coast and Glens,34
ART,"Ambulance response time, median",2016,2016,N09000005,Derry City and Strabane,38
ART,"Ambulance response time, median",2016,2016,N09000006,Fermanagh and Omagh,1
ART,"Ambulance response time, median",2016,2016,N09000007,Lisburn and Castlereagh,56
ART,"Ambulance response time, median",2016,2016,N09000008,Mid and East Antrim,3
ART,"Ambulance response time, median",2016,2016,N09000009,Mid Ulster,18
ART,"Ambulance response time, median",2016,2016,N09000010,"Newry, Mourne and Down",4
ART,"Ambulance response time, median",2016,2016,N09000011,Ards and North Down,0
ART,"Ambulance response time, median",2016,2016,N92000002,NI,57
ART,"Ambulance response time, median",2017,2017,N09000001,Antrim and Newtownabbey,26
